S.No.,HSCode,Commodity,Unit,Jul  2021 (R),Jul  2022 (R),%Growth,Apr-Jul  2021 (R),Apr-Jul  2022 (R),%Growth
656.,55101190,OTHERS,KGS  ,1.76,NaN,NaN,1.76,NaN,NaN
657.,55121910,"OTHR WOVN FBRCS, DYED CNTNG POLYETR >= 85%",SQM  ,NaN,86.03,NaN,95.45,"2,946.67","2,987.10"
658.,55132900,"WOVN FBRCS OF OTHR SYNTHTC STPL FBRS,DYED",SQM  ,NaN,19.53,NaN,43.80,19.53,-55.42
659.,55134900,"WVN FBRCS OF OTHR SYNTHTC STPL FIBRS,PRNTD",SQM  ,NaN,28.79,NaN,NaN,28.79,NaN
660.,55142100,"WOVEN FABRICS OF POLYESTR STAPLE FIBRES, PLAIN WEAVE,DYED",SQM  ,NaN,NaN,NaN,2.49,NaN,NaN
661.,55151130,"FBRC OF POLSTR,MXD WTH VISCOS RYON,DYED",SQM  ,754.79,773.84,2.52,"6,236.57","3,911.76",-37.28
662.,55151190,"FBRC OF POLSTR,MXD WTH VISCOS RYON,OTHRS",SQM  ,"1,603.13",212.90,-86.72,"5,838.28","1,572.66",-73.06
663.,55151230,"FBRC OF POLSTR,MXD WTH MAN-MADE FILMNT , DYED",SQM  ,11.10,90.49,715.29,"2,470.34",90.49,-96.34
664.,56031100,*MAN-MADE FILMNT WGHNG<25G/SQM,KGS  ,NaN,NaN,NaN,0.06,0.23,307.14
665.,56031200,MAN-MADE FILMNT WGHNG>25G /SQM,KGS  ,0.69,NaN,NaN,9.69,NaN,NaN
666.,56050020,IMITATION ZARI THREAD,KGS  ,NaN,NaN,NaN,0.34,NaN,NaN
667.,56074900,OTHR CORDGE ETC OF POLYETHLN/POLYPROPYLN,KGS  ,NaN,NaN,NaN,1.98,NaN,NaN
668.,56081110,MADE UP FISHING NETS OF NYLON,KGS  ,NaN,NaN,NaN,4.47,NaN,NaN
669.,57050021,DURRIES OF COTTON,SQM  ,NaN,NaN,NaN,0.11,NaN,NaN
670.,58012290,OTHERS,SQM  ,NaN,NaN,NaN,NaN,0.63,NaN
671.,58042100,MECHANICALLY MADE LACE OF MAN-MADE FBRS,KGS  ,0.65,36.58,"5,545.06",17.95,164.99,819.40
672.,58042990,MECHNCLLY MADE LACE OF OTHR TXTL,KGS  ,NaN,NaN,NaN,0.07,NaN,NaN
673.,58043000,HAND MADE LACE,KGS  ,0.60,NaN,NaN,1.50,NaN,NaN
674.,58061000,NARROW WVN PILE FBRCS(INCL TERRY TWLLNG AND SMLR TERRY FBRCS)AND CHENILLE FABRICS,KGS  ,NaN,0.36,NaN,NaN,0.36,NaN
675.,58063200,OTHER NARROW WOVEN FBRCS OF MAN-MADE FIBRE,KGS  ,2.87,NaN,NaN,4.40,NaN,NaN
676.,58063990,OTHERS,KGS  ,NaN,NaN,NaN,0.68,0.46,-32.69
677.,58071020,LABEL BADGES ETC OF MAN-MADE FIBRE WOVEN,KGS  ,NaN,0.02,NaN,NaN,0.05,NaN
678.,58081010,"BRAIDS IN THE PIECE,OF COTTON",KGS  ,NaN,NaN,NaN,NaN,0.42,NaN
679.,58089020,HAIR BAND OF NARROW FABRICS,KGS  ,NaN,NaN,NaN,0.19,NaN,NaN
680.,58089090,OTHERS,KGS  ,0.00,1.11,"55,250.00",0.00,1.76,"87,750.00"
681.,58090090,OTHERS,KGS  ,0.10,NaN,NaN,0.10,0.31,201.92
682.,58101000,EMBROIDERY WITHOUT VISIBLE GROUND,KGS  ,13.58,NaN,NaN,169.16,1.33,-99.21
683.,58109290,OTHER EMBROIDERY OF MANMADE FIBRE,KGS  ,1.94,3.46,77.93,6.45,4.36,-32.33
684.,58109900,*EMBRDRY OF OTHR TXTL MATRLS,KGS  ,NaN,NaN,NaN,NaN,0.47,NaN
685.,59061000,ADHESIVE TAPE OF A WIDTH NOT EXCDG 20 CM.,KGS  ,NaN,NaN,NaN,NaN,0.08,NaN
686.,59080010,WICKS AND GAS MANTLE FABRICS ETC.OF COTTON,KGS  ,NaN,NaN,NaN,NaN,2.07,NaN
687.,59080020,GAS MANTLES OF RAYON,KGS  ,0.79,NaN,NaN,0.79,0.26,-67.59
688.,59080090,OTHERS,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
689.,59090010,HOSE PIPING AND SMLR TUBING OF COTTON,KGS  ,NaN,NaN,NaN,0.06,NaN,NaN
690.,59119090,OTHERS,KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
691.,60033000,FBRCS OF SYNTHETIC FIBRES,KGS  ,NaN,NaN,NaN,NaN,0.03,NaN
692.,60054200,"WARP KNIT FBRCS OF ARTIFICIAL FIBRES, DYED",KGS  ,0.20,NaN,NaN,0.20,NaN,NaN
693.,61032200,ENSEMBLES OF COTTON,NOS  ,0.18,NaN,NaN,1.11,NaN,NaN
694.,61032300,ENSEMBLES OF SYNTHETIC FIBRES,NOS  ,0.34,NaN,NaN,3.52,NaN,NaN
695.,61032990,ENSEMBLES OF WOOL OR FINE ANIMAL HAIR,NOS  ,53.44,NaN,NaN,77.56,3.42,-95.59
696.,61033300,JACKETS AND BLAZERS OF SYNTHETIC FIBRES,NOS  ,31.27,NaN,NaN,130.00,7.80,-94.00
697.,61033990,JACKETS AND BLAZERS OF OTHER FIBRES,NOS  ,31.75,NaN,NaN,156.08,NaN,NaN
698.,61034200,"TROUSERS,SHORTS ETC OF COTTON",NOS  ,1.04,NaN,NaN,1.04,0.70,-32.50
699.,61034990,"TROUSERS,BIB,SHORTS ETC OF OTHER FIBRES",NOS  ,NaN,NaN,NaN,3.28,NaN,NaN
700.,61041990,SUITS OF WOOL/FINE ANML HAIR,NOS  ,NaN,NaN,NaN,20.98,NaN,NaN
701.,61042200,ENSEMBLES OF COTTON,NOS  ,NaN,NaN,NaN,NaN,0.54,NaN
702.,61042300,ENSEMBLES OF SYNTHETIC FIBRES,NOS  ,17.92,NaN,NaN,50.58,NaN,NaN
703.,61042990,ENSEMBLES OF WOOL/FINE ANIMAL HAIR,NOS  ,22.06,NaN,NaN,76.06,NaN,NaN
704.,61043100,JACKETS OF WOOL OR FINE ANIMAL HAIR,NOS  ,NaN,NaN,NaN,9.31,NaN,NaN
705.,61043300,JACKETS OF SYNTHETIC FIBRES,NOS  ,3.71,NaN,NaN,46.86,NaN,NaN
706.,61043990,JACKETS OF OTHER FIBRES,NOS  ,NaN,NaN,NaN,4.76,NaN,NaN
707.,61044200,DRESSES OF COTTON,NOS  ,0.04,NaN,NaN,0.84,NaN,NaN
708.,61044300,DRESSES OF SYNTHETIC FIBRES,NOS  ,NaN,NaN,NaN,16.53,NaN,NaN
709.,61046200,"TRSRS,BIBS,BRC OVRLLS,BRCHS,SHRTS OF COTN",NOS  ,0.49,NaN,NaN,0.85,NaN,NaN
710.,61046300,"TROUSERS,BIB AND BRACE OVERALLS,BREECHES AND SHORTS OF SYNTHETIC FIBRES",NOS  ,NaN,NaN,NaN,NaN,0.60,NaN
711.,61052010,MENS/BOYS SHIRTS SYN FIBRES,NOS  ,NaN,NaN,NaN,NaN,NaN,NaN
712.,61071100,UNDERPANTS AND BRIEFS OF COTTON,NOS  ,11.43,NaN,NaN,11.55,NaN,NaN
713.,61071990,UNDERPANTS AND BRIEFS OF OTHER FIBRES,NOS  ,6.50,NaN,NaN,6.50,NaN,NaN
714.,61072100,NIGHTSHIRTS AND PYJAMAS OF COTTON,NOS  ,NaN,NaN,NaN,0.67,NaN,NaN
715.,61081920,SLIPS AND PETTICOATS OF COTTON,NOS  ,NaN,NaN,NaN,0.18,NaN,NaN
716.,61082100,BRIEFS AND PANTIES OF COTTON,NOS  ,NaN,NaN,NaN,4.50,14.11,213.83
717.,61083100,NIGHTDRESSES AND PYJAMAS OF COTTON,NOS  ,1.56,NaN,NaN,1.56,NaN,NaN
718.,61083210,NIGHTDRESSES AND PYJAMAS OF SYN FIBRES,NOS  ,6.94,1.46,-78.98,13.42,1.46,-89.13
719.,61091000,T-SHIRTS ETC OF COTTON,NOS  ,2.33,NaN,NaN,18.87,2.93,-84.49
720.,61099010,T-SHIRT ETC OF SYN FIBRES,NOS  ,NaN,NaN,NaN,NaN,11.82,NaN
721.,61099090,T-SHIRT ETC OF OTHR FIBRES,NOS  ,NaN,2.56,NaN,16.79,2.59,-84.57
722.,61101120,SWEATERS AND CARDIGANS OF WOOL,NOS  ,107.61,8.42,-92.18,859.94,79.32,-90.78
723.,61101190,OTHR KNTTD/CRCHTD ARTICLS OF WOOL,NOS  ,14.65,NaN,NaN,16.69,NaN,NaN
724.,61103010,JERSEYS ETC OF SYN FIBRES,NOS  ,13.83,NaN,NaN,13.83,NaN,NaN
725.,61109000,JERSEY ETC OF OTHER TXTL MATRLS,NOS  ,22.73,NaN,NaN,22.73,NaN,NaN
726.,61112000,BABIES GARMENTS ETC OF COTTON,KGS  ,0.42,NaN,NaN,1.82,NaN,NaN
727.,61113000,BABIES GARMENTS ETC OF SYNTHIC FBRS,KGS  ,37.27,NaN,NaN,37.29,4.72,-87.34
728.,61119090,BABIES GRMNTS ETC OF WOOL/FINE ANIML HAIR,KGS  ,0.20,NaN,NaN,0.20,7.20,"3,534.85"
729.,61122040,SKI SUITS OF SYNTHETIC FIBRES,KGS  ,NaN,5.90,NaN,NaN,5.90,NaN
730.,61142000,OTHER GARMENTS OF COTTON,KGS  ,NaN,NaN,NaN,0.35,NaN,NaN
731.,61143010,OTHER GARMENTS OF SYNTHETIC FIBRES,KGS  ,NaN,1.65,NaN,NaN,1.65,NaN
732.,61149090,OTHER GARMENTS OF OTHER FIBRES,KGS  ,4.03,NaN,NaN,4.03,NaN,NaN
733.,61159500,OTHER HOSIERY GOODS OF COTTON,PRS  ,NaN,NaN,NaN,7.38,NaN,NaN
734.,61159600,OTHER HOSIERY GOODS OF SYNTHETIC FIBRES,PRS  ,NaN,NaN,NaN,29.51,1.00,-96.61
735.,61159990,OTHER HOSIERY OF OTHER TEXTILE FIBRES,PRS  ,NaN,NaN,NaN,0.02,NaN,NaN
736.,61171040,"SHWL, SCRV, MUFLR ETC OF MAN-MADE FIBRES",NOS  ,NaN,NaN,NaN,5.58,NaN,NaN
737.,62031200,SUITS OF SYNTHETIC FIBRES,NOS  ,NaN,NaN,NaN,NaN,0.09,NaN
738.,62031990,SUITS OF OTHR TXTL MATERIALS,NOS  ,25.26,NaN,NaN,25.26,NaN,NaN
739.,62032200,ENSEMBLES OF COTTON,NOS  ,0.50,NaN,NaN,0.74,NaN,NaN
740.,62032300,ENSEMBLES OF SYNTHETIC FIBRES,NOS  ,0.67,NaN,NaN,12.38,9.76,-21.16
741.,62032990,OTHER,NOS  ,NaN,NaN,NaN,0.05,6.17,"11,761.54"
742.,62033200,JACKETS AND BLAZERS OF COTTON,NOS  ,0.60,NaN,NaN,4.09,NaN,NaN
743.,62033300,JACKTS AND BLAZERS OF SYNTHETIC FIBRES,NOS  ,NaN,NaN,NaN,0.22,0.50,129.36
744.,62033919,OF SILK: OTHER,NOS  ,NaN,NaN,NaN,NaN,1.27,NaN
745.,62033990,JACKETS AND BLAZERS OF OTHER FIBRES,NOS  ,NaN,NaN,NaN,NaN,0.16,NaN
746.,62034290,OF COTTON: OTHER,NOS  ,4.76,NaN,NaN,35.64,5.72,-83.96
747.,62034300,"TROUSERS,BIB AND BRACE,OVERALLS,BREECHES AND SHORTS OF SYNTHETIC FIBRS,MENS OR BOYS",NOS  ,NaN,NaN,NaN,32.18,NaN,NaN
748.,62034990,"TROUSERS,BREECHES AND LIKE OF OTHER FIBRES",NOS  ,NaN,11.70,NaN,49.33,53.07,7.60
749.,62041200,*SUITS OF COTTON,NOS  ,0.08,0.50,541.03,0.08,0.50,541.03
750.,62041300,*SUITS OF SYNTHETIC FIBRES,NOS  ,NaN,3.64,NaN,12.10,8.09,-33.10
751.,62041990,*SUITS OF ALL OTHER FIBRES,NOS  ,NaN,NaN,NaN,NaN,12.72,NaN
752.,62042100,ENSEMBLES OF WOOL OR FINE ANIMAL HAIR,NOS  ,NaN,NaN,NaN,NaN,0.30,NaN
753.,62042290,OTHER ENSEMBLES OF COTTON,NOS  ,6.60,0.01,-99.91,6.60,0.56,-91.55
754.,62042300,*ENSEMBLES OF SYNTHETIC FIBRES,NOS  ,170.69,22.40,-86.88,"1,312.27",92.55,-92.95
755.,62042990,*OTHR ENSEMBLES OF OTHR TXTL MATRALS OTHR THAN SILK,NOS  ,48.98,NaN,NaN,56.06,65.91,17.57
756.,62043110,KHADI,NOS  ,NaN,NaN,NaN,NaN,45.33,NaN
757.,62043200,*JACKETS OF COTTON,NOS  ,26.21,4.30,-83.59,30.88,4.30,-86.07
758.,62043300,*JACKETS OF SYNTHETIC FIBRES,NOS  ,NaN,1.39,NaN,1.82,2.76,51.93
759.,62044190,OTHER DRESSES INCL UNIFORM DRESS,NOS  ,NaN,NaN,NaN,0.03,NaN,NaN
760.,62044220,DRESSES OF COTTON,NOS  ,NaN,0.43,NaN,NaN,0.43,NaN
761.,62044290,OTHR DRESSES OF COTTON,NOS  ,2.05,1.66,-19.22,11.29,4.08,-63.86
762.,62044310,HOUSE COATS AND LIKE DRESSES OF SYNTH FIBRES,NOS  ,7.48,7.49,0.13,41.08,7.49,-81.76
763.,62044390,OTHR DRESSES OF SYNTH FIBRES,NOS  ,9.23,7.47,-19.04,58.63,20.73,-64.63
764.,62044400,*DRESSES OF ARTIFICIAL FIBRES,NOS  ,6.35,3.75,-40.97,24.51,16.47,-32.79
765.,62045200,*SKIRTS AND DIVIDED SKIRTS OF COTTON,NOS  ,NaN,NaN,NaN,0.12,NaN,NaN
766.,62045300,*SKIRTS AND DIVIDED SKIRTS OF SYNTHETIC FIBRS,NOS  ,1.02,0.94,-7.64,6.75,2.76,-59.05
767.,62046110,"TRSRS,SLCKS AND SHRTS OF WOOL/FNE ANIML HAIR",NOS  ,NaN,NaN,NaN,NaN,0.24,NaN
768.,62046290,OF COTTON: OTHER,NOS  ,0.25,1.49,495.20,0.38,1.49,287.50
769.,62046300,"TROUSERS,BIB AND BRACE OVERALLS, BREECHES AND SHORTS OF SYNTHETIC FIBRES",NOS  ,NaN,13.65,NaN,0.13,19.49,"14,894.62"
770.,62046990,"TROUSERS,BIB ETC OF OTHER FIBRES",NOS  ,NaN,3.24,NaN,NaN,14.71,NaN
771.,62052090,OF COTTON: OTHER,NOS  ,0.18,NaN,NaN,4.25,2.99,-29.64
772.,62053000,*MENS OR BOYS SHIRTS OF MAN-MADE FIBRES,NOS  ,0.66,NaN,NaN,8.56,3.31,-61.34
773.,62059090,SHIRTS OF OTHER FIBRES,NOS  ,NaN,NaN,NaN,1.20,NaN,NaN
774.,62063090,OTHER,NOS  ,NaN,NaN,NaN,0.65,0.72,10.14
775.,62064000,"BLOUSES,SHIRTS ETC OF MAN-MADE FIBRES",NOS  ,NaN,0.15,NaN,19.02,0.15,-99.21
776.,62069000,"BLOUSES,SHIRTS ETC OF OTHR TXTL MATERIALS",NOS  ,1.94,NaN,NaN,2.04,NaN,NaN
777.,62072190,NIGHT SHRTS AND PYJAMAS OF OTHR THAN COTTON,NOS  ,NaN,NaN,NaN,0.15,NaN,NaN
778.,62072200,NIGHTSHRTS AND PYJMS OF MAN-MADE FIBRES,NOS  ,NaN,NaN,NaN,0.41,NaN,NaN
779.,62081100,SLIPS AND PETTICOATS OF MAN-MADE FIBRES,NOS  ,NaN,0.11,NaN,NaN,0.11,NaN
780.,62081990,"SLIPS, PETICOATS OF OTHR TXTL MTRL",NOS  ,NaN,NaN,NaN,0.19,NaN,NaN
781.,62082190,OTHER,NOS  ,NaN,NaN,NaN,0.44,0.08,-82.27
782.,62082200,NIGHTDRESSES AND PYJAMAS OF MAN-MADE FIBRES,NOS  ,0.83,2.65,219.42,27.30,17.74,-35.04
783.,62082920,NIGHTDRESSES AND PYJAMAS OF WOOL,NOS  ,NaN,NaN,NaN,NaN,0.11,NaN
784.,62082990,NIGHTDRESSES AND PYJAMAS OF OTHER FIBRES,NOS  ,NaN,NaN,NaN,0.42,NaN,NaN
785.,62089210,DRESSING GOWNS AND BATHROBES,NOS  ,0.09,NaN,NaN,0.09,0.85,882.56
786.,62089290,GRMNTS OTHR THN DRESSING GOWNS AND BATHROBES OF MAN-MADE FIBRES,NOS  ,NaN,3.05,NaN,NaN,3.54,NaN
787.,62089990,SIMILAR GARMENTS OF OTHER FIBRES,NOS  ,NaN,NaN,NaN,0.30,0.38,27.70
788.,62092090,OTHER,NOS  ,0.13,NaN,NaN,0.74,NaN,NaN
789.,62093000,BABIES GRMNTS AND CLOTHNG ACCESS OF SYN FIBR,NOS  ,1.21,48.47,"3,892.42",45.26,48.56,7.30
790.,62099090,BABIES GARMENTS AND CLOTHING ACCESSORIES OF WOOL OR FINE ANIMAL HAIR,NOS  ,3.76,NaN,NaN,4.66,7.32,56.95
791.,62113300,OTHR GRMNTS OF MAN-MDE FBRS FR MENS/BOYS,NOS  ,NaN,1.75,NaN,NaN,1.75,NaN
792.,62114210,*KURTA AND SALWAR WTH/WTHOUT DUPTA OF COTN,NOS  ,NaN,NaN,NaN,0.38,NaN,NaN
793.,62114290,*COTN GRMNTS OTHR THN KURTA AND SALWAR WTH WITHOUT DUPPATTA,NOS  ,1.77,0.94,-46.96,3.59,8.25,130.24
794.,62114300,*OTHER GARMENTS OF MAN-MADE FIBRES,NOS  ,158.00,130.82,-17.20,683.01,320.79,-53.03
795.,62114990,*OTHER GARMENTS OF OTHER TEXTILE MATERIALS EXCL. WOOL OR FINE ANIMAL HAIR,NOS  ,0.68,NaN,NaN,0.78,0.19,-75.13
796.,62139090,Other,NOS  ,5.72,NaN,NaN,5.72,NaN,NaN
797.,62142029,SCARVES:OTHER,NOS  ,NaN,0.68,NaN,NaN,0.68,NaN
798.,62142090,"OTHR ITMS OF WOOL OTHR THN SHWLS,SCRVS AND MUFFLERS",NOS  ,1.91,NaN,NaN,155.67,NaN,NaN
799.,62143000,"*SHWLS,SCRVS,MUFFLERS ETC OF SYNTHTC FBRS",NOS  ,140.53,19.28,-86.28,217.10,69.16,-68.15
800.,62144000,"*SHWLS SCRVS,MUFFLRS ETC OF ARTIFICIAL FBRS",NOS  ,5.98,NaN,NaN,5.98,NaN,NaN
801.,62149050,"*SHAWLS,MUFFLERS AND THE LIKE OF COTTON",NOS  ,NaN,NaN,NaN,0.40,NaN,NaN
802.,62149060,*SHAWLS MUFFELERS ETC OF MANMADE FIBRE,NOS  ,33.65,NaN,NaN,84.95,NaN,NaN
803.,62149090,"*SHAWLS,SCARVES,ETC OF OTHR TXTL FIBRES",NOS  ,3.93,1.63,-58.43,58.85,2.13,-96.38
804.,62171020,ACCSSRS FR ARTCLS OF APPRL OF SYNTHTC FBRS,KGS  ,0.56,NaN,NaN,4.39,0.50,-88.66
805.,62171090,"STOKNGS,SOCKS AND SOCKTTS ETC OF OTHR FIBRES",KGS  ,NaN,NaN,NaN,0.15,0.03,-80.13
806.,62179090,OTHERS AND TRIMMINGS OF OTHER TEXTILE FIBRES,KGS  ,0.04,NaN,NaN,0.04,1.03,"2,845.71"
807.,63014000,"BLANKETS(OTHER THAN ELECTRIC BLANKETS) AND TRAVELLING RUGS,OF SYNTHETIC FIBRES",NOS  ,NaN,NaN,NaN,4.29,NaN,NaN
808.,63019090,"OTHER BLANKETS AND TRAVELLING RUGS,",NOS  ,NaN,NaN,NaN,0.04,NaN,NaN
809.,63039990,OTHR CURTAINS ETC OTHER THAN HANDLOOM OF OTHER TEXTILES MATERIALS,KGS  ,NaN,NaN,NaN,NaN,0.22,NaN
810.,63041910,BEDSHEETS AND BED COVERS OF COTTON,NOS  ,0.01,NaN,NaN,0.01,NaN,NaN
811.,63041930,BEDSHEETS AND BED COVERS OF MAN-MADE FIBRES,NOS  ,NaN,NaN,NaN,0.01,NaN,NaN
812.,63041990,OTHR BEDSHEETS AND BED COVERS N.E.S.,NOS  ,NaN,0.05,NaN,NaN,0.05,NaN
813.,63042000,Bed nets specified in Sub-heading Note 1 to this Chapter,NOS  ,NaN,5.00,NaN,NaN,5.00,NaN
814.,63049229,OTHER NAPKINS,NOS  ,NaN,NaN,NaN,0.30,NaN,NaN
815.,63049260,"TOWEL ORHT THN TERRY OF COTN, NTKNTD/CRCHT",NOS  ,0.49,NaN,NaN,1.52,NaN,NaN
816.,63053300,SACKS AND BAGS OF POLYETHYLENE OR POLYPROPYLENE STRIP OR THE LIKE,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
817.,63071020,FLOOR-CLOTH AND THE LIKE OF MANMADE FIBRE,KGS  ,0.21,NaN,NaN,0.21,NaN,NaN
818.,63079013,"DRSS MATERIALS OF MAN-MADE FIBRS,HND PRNTD",KGS  ,0.04,NaN,NaN,32.63,3.81,-88.33
819.,63079019,"DRESS MATERIALS,N.E.S.",KGS  ,60.67,11.56,-80.94,123.02,39.48,-67.91
820.,63079020,MADE UP ARTCLS OF COTTON,KGS  ,4.75,42.96,803.66,41.21,104.07,152.53
821.,63079090,*OTHR MADE UP ARTCLS OTHR THN COTTON,KGS  ,2.10,0.53,-74.56,3.75,25.86,588.81
822.,64011090,OTHER FTSWR WITH TOE-CAP,PRS  ,NaN,NaN,NaN,NaN,0.15,NaN
823.,64021290,SKI-BOOTS AND CROSS-COUNTRY SKI FOOTWEAR AND SNOWBOARD BOOTS OF OTHER MATERIAL,PRS  ,NaN,NaN,NaN,0.89,NaN,NaN
824.,64021990,OTHERS,PRS  ,NaN,NaN,NaN,12.28,1.84,-85.05
825.,64029190,OTHER,PRS  ,NaN,NaN,NaN,2.17,8.40,287.81
826.,64029990,OTHERS,PRS  ,54.58,33.76,-38.15,96.48,62.57,-35.15
827.,64039920,LEATHER SANDALS WITH PLASTC/SYNTHTC SOLE,PRS  ,NaN,NaN,NaN,0.28,NaN,NaN
828.,64039990,LTHR SANDALS WITH OTHR SOLE,PRS  ,NaN,NaN,NaN,NaN,11.72,NaN
829.,64041190,OTHERS,PRS  ,NaN,NaN,NaN,NaN,7.89,NaN
830.,64041990,OTHERS,PRS  ,77.62,NaN,NaN,154.84,11.73,-92.43
831.,64061090,OTHERS,KGS  ,0.04,NaN,NaN,0.98,NaN,NaN
832.,65010010,"HAT FORMS,PLATEAUX,MANCHONS ETC OF COTTON",KGS  ,NaN,NaN,NaN,NaN,0.02,NaN
833.,65050090,HATS AND OTHER HEADGEARS ETC. EXCL. HAIR-NETS,KGS  ,NaN,0.00,NaN,NaN,0.00,NaN
834.,65061090,OTHR SAFETY HEADGEAR,NOS  ,NaN,NaN,NaN,0.05,NaN,NaN
835.,66019900,OTHER UMBRELLAS,NOS  ,NaN,NaN,NaN,NaN,0.00,NaN
836.,67042090,OTHERS,KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
837.,68022390,OTHERS,KGS  ,NaN,NaN,NaN,135.30,80.00,-40.87
838.,68129922,ASBESTOS GASKETS,KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
839.,68132010,BRAKE LINING AND PADS,KGS  ,NaN,NaN,NaN,NaN,2.49,NaN
840.,68138100,BRAKE LININGS AND PADS,KGS  ,NaN,NaN,NaN,4.20,NaN,NaN
841.,69072100,OF A WATER ABSORPTION COEFFICIENT BY WEIGHT NOT EXCEEDING 0.5%,SQM  ,2.79,NaN,NaN,9.47,NaN,NaN
842.,69109000,OTHR SANITARY FIXTURES(EXCL OF PORCELAIN),KGS  ,NaN,NaN,NaN,NaN,0.14,NaN
843.,70091010,PRSMTIC REAR VEW MIROR FOR VEHICLE,KGS  ,NaN,NaN,NaN,0.71,NaN,NaN
844.,70091090,OTHR REAR VEW MIROR FOR VEHCLE,KGS  ,NaN,0.01,NaN,0.05,0.47,951.11
845.,70119090,OTHERS,KGS  ,NaN,NaN,NaN,0.84,0.32,-61.69
846.,70139900,OTHR THN GLA STATUES OF LEAD CRYSTALS,KGS  ,10.95,NaN,NaN,10.95,NaN,NaN
847.,70179010,OTHR GRAGUATD/CALBRATD LABORATORY GLASWARE,KGS  ,NaN,NaN,NaN,NaN,0.04,NaN
848.,70179090,OTHER LABORATORY GLASSWARE,KGS  ,0.02,NaN,NaN,0.27,NaN,NaN
849.,70181010,BANGLES,KGS  ,15.52,15.48,-0.32,127.46,47.26,-62.92
850.,70181020,BEADS IMTN PRLS IMTN PRCS AND SEMI PRCS STNS,KGS  ,NaN,NaN,NaN,1.33,NaN,NaN
851.,70189090,OTHR THN GLS STATUE OF OTHR ARTCLE OF HDG 7018,KGS  ,NaN,0.02,NaN,NaN,0.02,NaN
852.,70195900,*OTHER WOVEN FABRICS,KGS  ,0.18,NaN,NaN,0.18,NaN,NaN
853.,70199010,*GLASS WOOL/GLASS FIBRE,KGS  ,3.34,NaN,NaN,3.34,NaN,NaN
854.,71131930,*JEWELLERY OF GOLD SET WITH DIAMOND,KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
855.,71171910,BANGLES,KGS  ,24.28,33.01,35.97,128.76,76.42,-40.65
856.,71171990,OTHER,KGS  ,NaN,NaN,NaN,13.57,3.60,-73.47
857.,71179010,JEWELLERY SET WITH IMITATION PEARLS OR IMITATION OR SYNTHETIC STONES,KGS  ,0.06,NaN,NaN,0.06,1.37,"2,046.88"
858.,71179090,OTHER IMITATION JEWELLERY FOR PERSONAL ADORNMENT(OTHER THAN ARTWARE),KGS  ,12.39,2.95,-76.20,97.55,23.92,-75.48
859.,72023000,FERRO-SILICO-MANGANESE,KGS  ,54.00,NaN,NaN,654.00,488.00,-25.38
860.,72071910,FORGED BLANKS OF NONALLOY STEEL,KGS  ,NaN,NaN,NaN,8.68,NaN,NaN
861.,72104900,*OTHR PRDCTS OF IRON/NON-ALLOY STEEL OTHERWISE PLTD/COTD WTH ZINC,KGS  ,NaN,NaN,NaN,NaN,10.09,NaN
862.,72149990,OTHERS,KGS  ,NaN,0.01,NaN,NaN,0.02,NaN
863.,72155090,OTHERS,KGS  ,NaN,NaN,NaN,NaN,3.16,NaN
864.,72169990,OTHER N.E.S.,KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
865.,72171020,"WIRE, THINNER THAN 18 SWG UPTO 26 SWG",KGS  ,2.85,NaN,NaN,2.85,NaN,NaN
866.,72179099,OTHER WIRES N.E.S.,KGS  ,NaN,NaN,NaN,0.50,NaN,NaN
867.,72193190,OTHR COLD-ROLD PRDCTS OF THCKNS >= 4.75MM N.E.S.,KGS  ,0.03,NaN,NaN,0.03,NaN,NaN
868.,72222099,"BARS AND RODS , COLD-FORMED OR COLD FINISHEDN.E.S.",KGS  ,NaN,0.01,NaN,NaN,0.21,NaN
869.,72230099,WIRE OF STNLS STL OF THICKNS < 0.46 MM,KGS  ,0.05,NaN,NaN,0.05,0.05,0.00
870.,72279090,"OTHER BARS AND RODS,HT-RLLD IN IRREGURARLY WOUND COILS OF OTHR ALLOY STEEL",KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
871.,73049000,OTHR SEAMLESS TUBES/PIPES AND HOLOW PORFILES,KGS  ,0.10,NaN,NaN,0.10,NaN,NaN
872.,73061929,NON-GALVAN PIPE OF OTHER FOR OIL OR GAS,KGS  ,14.50,NaN,NaN,14.50,NaN,NaN
873.,73062919,OTHER,KGS  ,NaN,0.00,NaN,NaN,0.00,NaN
874.,73069090,"OTHER TUBES,PIPES ETC.OF IRON/STEEL N.E.S.",KGS  ,NaN,NaN,NaN,NaN,0.37,NaN
875.,73071110,SPONGE IRON CAST FITTINGS,KGS  ,0.67,NaN,NaN,0.67,NaN,NaN
876.,73071190,OTHERS NON-MALLEABLE CAST IRON,KGS  ,NaN,0.00,NaN,NaN,0.00,NaN
877.,73072200,"THREADED ELBOWS,BNDS AND SLEVS OF STNLES STL",KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
